index,name,generation,evolves_from,abilities,desc,type1,type2,total,hp,atk,def,spatk,spdef,speed,height,weight,rank
14,kakuna,generation-i,weedle,shed-skin ,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",bug,poison,205,45,25,50,25,25,35,6,100,ordinary
15,beedrill,generation-i,kakuna,swarm sniper ,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,bug,poison,395,65,90,40,45,80,75,10,295,ordinary
16,pidgey,generation-i,nothing,keen-eye tangled-feet big-pecks ,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,normal,flying,251,40,45,40,35,35,56,3,18,ordinary
17,pidgeotto,generation-i,pidgey,keen-eye tangled-feet big-pecks ,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",normal,flying,349,63,60,55,50,50,71,11,300,ordinary
18,pidgeot,generation-i,pidgeotto,keen-eye tangled-feet big-pecks ,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",normal,flying,479,83,80,75,70,70,101,15,395,ordinary
19,rattata,generation-i,nothing,run-away guts hustle ,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",normal,None,253,30,56,35,25,35,72,3,35,ordinary
20,raticate,generation-i,rattata,run-away guts hustle ,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,normal,None,413,55,81,60,50,70,97,7,185,ordinary
21,spearow,generation-i,nothing,keen-eye sniper ,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",normal,flying,262,40,60,30,31,31,70,3,20,ordinary
22,fearow,generation-i,spearow,keen-eye sniper ,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",normal,flying,442,65,90,65,61,61,100,12,380,ordinary
23,ekans,generation-i,nothing,intimidate shed-skin unnerve ,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",poison,None,288,35,60,44,40,54,55,20,69,ordinary
24,arbok,generation-i,ekans,intimidate shed-skin unnerve ,It is rumored that the ferocious warning markings on its belly differ from area to area.,poison,None,448,60,95,69,65,79,80,35,650,ordinary
25,pikachu,generation-i,pichu,static lightning-rod ,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",electric,None,320,35,55,40,50,50,90,4,60,ordinary
26,raichu,generation-i,pikachu,static lightning-rod ,Its long tail serves as a ground to protect itself from its own high-voltage power.,electric,None,485,60,90,55,90,80,110,8,300,ordinary
27,sandshrew,generation-i,nothing,sand-veil sand-rush ,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,ground,None,300,50,75,85,20,30,40,6,120,ordinary
28,sandslash,generation-i,sandshrew,sand-veil sand-rush ,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,ground,None,450,75,100,110,45,55,65,10,295,ordinary
29,nidoranf,generation-i,nothing,poison-point rivalry hustle ,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",poison,None,275,55,47,52,40,40,41,4,70,ordinary
30,nidorina,generation-i,nidoran-f,poison-point rivalry hustle ,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,poison,None,365,70,62,67,55,55,56,8,200,ordinary
31,nidoqueen,generation-i,nidorina,poison-point rivalry sheer-force ,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,poison,ground,505,90,92,87,75,85,76,13,600,ordinary
32,nidoranm,generation-i,nothing,poison-point rivalry hustle ,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",poison,None,273,46,57,40,40,40,50,5,90,ordinary
33,nidorino,generation-i,nidoran-m,poison-point rivalry hustle ,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,poison,None,365,61,72,57,55,55,65,9,195,ordinary
34,nidoking,generation-i,nidorino,poison-point rivalry sheer-force ,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",poison,ground,505,81,102,77,85,75,85,14,620,ordinary
35,clefairy,generation-i,cleffa,cute-charm magic-guard friend-guard ,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,fairy,None,323,70,45,48,60,65,35,6,75,ordinary
36,clefable,generation-i,clefairy,cute-charm magic-guard unaware ,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,fairy,None,483,95,70,73,95,90,60,13,400,ordinary
37,vulpix,generation-i,nothing,flash-fire drought ,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",fire,None,299,38,41,40,50,65,65,6,99,ordinary
38,ninetales,generation-i,vulpix,flash-fire drought ,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,fire,None,505,73,76,75,81,100,100,11,199,ordinary
39,jigglypuff,generation-i,igglybuff,cute-charm competitive friend-guard ,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",normal,fairy,270,115,45,20,45,25,20,5,55,ordinary
40,wigglytuff,generation-i,jigglypuff,cute-charm competitive frisk ,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",normal,fairy,435,140,70,45,85,50,45,10,120,ordinary
41,zubat,generation-i,nothing,inner-focus infiltrator ,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,poison,flying,245,40,45,35,30,40,55,8,75,ordinary
42,golbat,generation-i,zubat,inner-focus infiltrator ,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",poison,flying,455,75,80,70,65,75,90,16,550,ordinary
43,oddish,generation-i,nothing,chlorophyll run-away ,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",grass,poison,320,45,50,55,75,65,30,5,54,ordinary
44,gloom,generation-i,oddish,chlorophyll stench ,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,grass,poison,395,60,65,70,85,75,40,8,86,ordinary
45,vileplume,generation-i,gloom,chlorophyll effect-spore ,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",grass,poison,490,75,80,85,110,90,50,12,186,ordinary
46,paras,generation-i,nothing,effect-spore dry-skin damp ,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,bug,grass,285,35,70,55,45,55,25,3,54,ordinary
47,parasect,generation-i,paras,effect-spore dry-skin damp ,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,bug,grass,405,60,95,80,60,80,30,10,295,ordinary
48,venonat,generation-i,nothing,compound-eyes tinted-lens run-away ,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,bug,poison,305,60,55,50,40,55,45,10,300,ordinary
49,venomoth,generation-i,venonat,shield-dust tinted-lens wonder-skin ,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,bug,poison,450,70,65,60,90,75,90,15,125,ordinary
50,diglett,generation-i,nothing,sand-veil arena-trap sand-force ,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,ground,None,265,10,55,25,35,45,95,2,8,ordinary
51,dugtrio,generation-i,diglett,sand-veil arena-trap sand-force ,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,ground,None,425,35,100,50,50,70,120,7,333,ordinary
52,meowth,generation-i,nothing,pickup technician unnerve ,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,normal,None,290,40,45,35,40,40,90,4,42,ordinary
53,persian,generation-i,meowth,limber technician unnerve ,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",normal,None,440,65,70,60,65,65,115,10,320,ordinary
54,psyduck,generation-i,nothing,damp cloud-nine swift-swim ,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",water,None,320,50,52,48,65,50,55,8,196,ordinary
55,golduck,generation-i,psyduck,damp cloud-nine swift-swim ,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",water,None,500,80,82,78,95,80,85,17,766,ordinary
56,mankey,generation-i,nothing,vital-spirit anger-point defiant ,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,fighting,None,305,40,80,35,35,45,70,5,280,ordinary
57,primeape,generation-i,mankey,vital-spirit anger-point defiant ,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,fighting,None,455,65,105,60,60,70,95,10,320,ordinary
58,growlithe,generation-i,nothing,intimidate flash-fire justified ,Very protective of its territory. It will bark and bite to repel intruders from its space.,fire,None,350,55,70,45,70,50,60,7,190,ordinary
59,arcanine,generation-i,growlithe,intimidate flash-fire justified ,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,fire,None,555,90,110,80,100,80,95,19,1550,ordinary
60,poliwag,generation-i,nothing,water-absorb damp swift-swim ,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,water,None,300,40,50,40,40,40,90,6,124,ordinary
61,poliwhirl,generation-i,poliwag,water-absorb damp swift-swim ,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",water,None,385,65,65,65,50,50,90,10,200,ordinary
62,poliwrath,generation-i,poliwhirl,water-absorb damp swift-swim ,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,water,fighting,510,90,95,95,70,90,70,13,540,ordinary
63,abra,generation-i,nothing,synchronize inner-focus magic-guard ,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",psychic,None,310,25,20,15,105,55,90,9,195,ordinary
64,kadabra,generation-i,abra,synchronize inner-focus magic-guard ,It emits special alpha waves from its body that induce headaches just by being close by.,psychic,None,400,40,35,30,120,70,105,13,565,ordinary
65,alakazam,generation-i,kadabra,synchronize inner-focus magic-guard ,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",psychic,None,500,55,50,45,135,95,120,15,480,ordinary
66,machop,generation-i,nothing,guts no-guard steadfast ,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,fighting,None,305,70,80,50,35,35,35,8,195,ordinary
67,machoke,generation-i,machop,guts no-guard steadfast ,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",fighting,None,405,80,100,70,50,60,45,15,705,ordinary
68,machamp,generation-i,machoke,guts no-guard steadfast ,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",fighting,None,505,90,130,80,65,85,55,16,1300,ordinary
69,bellsprout,generation-i,nothing,chlorophyll gluttony ,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,grass,poison,300,50,75,35,70,30,40,7,40,ordinary
70,weepinbell,generation-i,bellsprout,chlorophyll gluttony ,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,grass,poison,390,65,90,50,85,45,55,10,64,ordinary
71,victreebel,generation-i,weepinbell,chlorophyll gluttony ,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",grass,poison,490,80,105,65,100,70,70,17,155,ordinary
72,tentacool,generation-i,nothing,clear-body liquid-ooze rain-dish ,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,water,poison,335,40,40,35,50,100,70,9,455,ordinary
73,tentacruel,generation-i,tentacool,clear-body liquid-ooze rain-dish ,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",water,poison,515,80,70,65,80,120,100,16,550,ordinary
74,geodude,generation-i,nothing,rock-head sturdy sand-veil ,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",rock,ground,300,40,80,100,30,30,20,4,200,ordinary
75,graveler,generation-i,geodude,rock-head sturdy sand-veil ,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,rock,ground,390,55,95,115,45,45,35,10,1050,ordinary
76,golem,generation-i,graveler,rock-head sturdy sand-veil ,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,rock,ground,495,80,120,130,55,65,45,14,3000,ordinary
77,ponyta,generation-i,nothing,run-away flash-fire flame-body ,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,fire,None,410,50,85,55,65,65,90,10,300,ordinary
78,rapidash,generation-i,ponyta,run-away flash-fire flame-body ,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",fire,None,500,65,100,70,80,80,105,17,950,ordinary
79,slowpoke,generation-i,nothing,oblivious own-tempo regenerator ,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,water,psychic,315,90,65,65,40,40,15,12,360,ordinary
80,slowbro,generation-i,slowpoke,oblivious own-tempo regenerator ,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,water,psychic,490,95,75,110,100,80,30,16,785,ordinary
81,magnemite,generation-i,nothing,magnet-pull sturdy analytic ,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,electric,steel,325,25,35,70,95,55,45,3,60,ordinary
82,magneton,generation-i,magnemite,magnet-pull sturdy analytic ,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,electric,steel,465,50,60,95,120,70,70,10,600,ordinary
83,farfetchd,generation-i,nothing,keen-eye inner-focus defiant ,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,normal,flying,377,52,90,55,58,62,60,8,150,ordinary
84,doduo,generation-i,nothing,run-away early-bird tangled-feet ,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,normal,flying,310,35,85,45,35,35,75,14,392,ordinary
85,dodrio,generation-i,doduo,run-away early-bird tangled-feet ,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",normal,flying,470,60,110,70,60,60,110,18,852,ordinary
86,seel,generation-i,nothing,thick-fat hydration ice-body ,The protruding horn on its head is very hard. It is used for bashing through thick ice.,water,None,325,65,45,55,45,70,45,11,900,ordinary
87,dewgong,generation-i,seel,thick-fat hydration ice-body ,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,water,ice,475,90,70,80,70,95,70,17,1200,ordinary
88,grimer,generation-i,nothing,stench sticky-hold poison-touch ,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,poison,None,325,80,80,50,40,50,25,9,300,ordinary
89,muk,generation-i,grimer,stench sticky-hold poison-touch ,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",poison,None,500,105,105,75,65,100,50,12,300,ordinary
90,shellder,generation-i,nothing,shell-armor skill-link overcoat ,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,water,None,305,30,65,100,45,25,40,3,40,ordinary
91,cloyster,generation-i,shellder,shell-armor skill-link overcoat ,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",water,ice,525,50,95,180,85,45,70,15,1325,ordinary
92,gastly,generation-i,nothing,levitate ,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",ghost,poison,310,30,35,30,100,35,80,13,1,ordinary
93,haunter,generation-i,gastly,levitate ,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",ghost,poison,405,45,50,45,115,55,95,16,1,ordinary
94,gengar,generation-i,haunter,cursed-body ,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",ghost,poison,500,60,65,60,130,75,110,15,405,ordinary
95,onix,generation-i,nothing,rock-head sturdy weak-armor ,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",rock,ground,385,35,45,160,30,45,70,88,2100,ordinary
96,drowzee,generation-i,nothing,insomnia forewarn inner-focus ,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,psychic,None,328,60,48,45,43,90,42,10,324,ordinary
97,hypno,generation-i,drowzee,insomnia forewarn inner-focus ,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",psychic,None,483,85,73,70,73,115,67,16,756,ordinary
98,krabby,generation-i,nothing,hyper-cutter shell-armor sheer-force ,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",water,None,325,30,105,90,25,25,50,4,65,ordinary
99,kingler,generation-i,krabby,hyper-cutter shell-armor sheer-force ,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",water,None,475,55,130,115,50,50,75,13,600,ordinary
100,voltorb,generation-i,nothing,soundproof static aftermath ,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",electric,None,330,40,30,50,55,55,100,5,104,ordinary
101,electrode,generation-i,voltorb,soundproof static aftermath ,It stores electric energy under very high pressure. It often explodes with little or no provocation.,electric,None,490,60,50,70,80,80,150,12,666,ordinary
102,exeggcute,generation-i,nothing,chlorophyll harvest ,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",grass,psychic,325,60,40,80,60,45,40,4,25,ordinary
103,exeggutor,generation-i,exeggcute,chlorophyll harvest ,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",grass,psychic,530,95,95,85,125,75,55,20,1200,ordinary
104,cubone,generation-i,nothing,rock-head lightning-rod battle-armor ,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",ground,None,320,50,50,95,40,50,35,4,65,ordinary
105,marowak,generation-i,cubone,rock-head lightning-rod battle-armor ,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,ground,None,425,60,80,110,50,80,45,10,450,ordinary
106,hitmonlee,generation-i,tyrogue,limber reckless unburden ,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",fighting,None,455,50,120,53,35,110,87,15,498,ordinary
107,hitmonchan,generation-i,tyrogue,keen-eye iron-fist inner-focus ,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",fighting,None,455,50,105,79,35,110,76,14,502,ordinary
108,lickitung,generation-i,nothing,own-tempo oblivious cloud-nine ,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,normal,None,385,90,55,75,60,75,30,12,655,ordinary
109,koffing,generation-i,nothing,levitate neutralizing-gas stench ,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",poison,None,340,40,65,95,60,45,35,6,10,ordinary
110,weezing,generation-i,koffing,levitate neutralizing-gas stench ,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",poison,None,490,65,90,120,85,70,60,12,95,ordinary
111,rhyhorn,generation-i,nothing,lightning-rod rock-head reckless ,"A POKéMON with a one-track mind. Once it charges, it won't stop running until it falls asleep.",ground,rock,345,80,85,95,30,30,25,10,1150,ordinary
112,rhydon,generation-i,rhyhorn,lightning-rod rock-head reckless ,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",ground,rock,485,105,130,120,45,45,40,19,1200,ordinary
113,chansey,generation-i,happiny,natural-cure serene-grace healer ,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,normal,None,450,250,5,5,35,105,50,11,346,ordinary
114,tangela,generation-i,nothing,chlorophyll leaf-guard regenerator ,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,grass,None,435,65,55,115,100,40,60,10,350,ordinary
115,kangaskhan,generation-i,nothing,early-bird scrappy inner-focus ,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,normal,None,490,105,95,80,40,80,90,22,800,ordinary
116,horsea,generation-i,nothing,swift-swim sniper damp ,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,water,None,295,30,40,70,70,25,60,4,80,ordinary
117,seadra,generation-i,horsea,poison-point sniper damp ,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,water,None,440,55,65,95,95,45,85,12,250,ordinary
118,goldeen,generation-i,nothing,swift-swim water-veil lightning-rod ,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.",water,None,320,45,67,60,35,50,63,6,150,ordinary
119,seaking,generation-i,goldeen,swift-swim water-veil lightning-rod ,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.",water,None,450,80,92,65,65,80,68,13,390,ordinary
120,staryu,generation-i,nothing,illuminate natural-cure analytic ,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight.",water,None,340,30,45,55,70,55,85,8,345,ordinary
121,starmie,generation-i,staryu,illuminate natural-cure analytic ,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,water,psychic,520,60,75,85,100,85,115,11,800,ordinary
122,mr-mime,generation-i,mime-jr,soundproof filter technician ,"If interrupted while it is miming, it will slap around the offender with its broad hands.",psychic,fairy,460,40,45,65,100,120,90,13,545,ordinary
123,scyther,generation-i,nothing,swarm technician steadfast ,"With ninja-like agility and speed, it can create the illusion that there is more than one.",bug,flying,500,70,110,80,55,80,105,15,560,ordinary
124,jynx,generation-i,smoochum,oblivious forewarn dry-skin ,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,ice,psychic,455,65,50,35,115,95,95,14,406,ordinary
125,electabuzz,generation-i,elekid,static vital-spirit ,"Normally found near power plants, they can wander away and cause major blackouts in cities.",electric,None,490,65,83,57,95,85,105,11,300,ordinary
126,magmar,generation-i,magby,flame-body vital-spirit ,Its body always burns with an orange glow that enables it to hide perfectly among flames.,fire,None,495,65,95,57,100,85,93,13,445,ordinary
127,pinsir,generation-i,nothing,hyper-cutter mold-breaker moxie ,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.",bug,None,500,65,125,100,55,70,85,15,550,ordinary
128,tauros,generation-i,nothing,intimidate anger-point sheer-force ,"When it targets an enemy, it charges furiously while whipping its body with its long tails.",normal,None,490,75,100,95,40,70,110,14,884,ordinary
129,magikarp,generation-i,nothing,swift-swim rattled ,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",water,None,200,20,10,55,15,20,80,9,100,ordinary
130,gyarados,generation-i,magikarp,intimidate moxie ,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm.",water,flying,540,95,125,79,60,100,81,65,2350,ordinary
131,lapras,generation-i,nothing,water-absorb shell-armor hydration ,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,water,ice,535,130,85,80,85,95,60,25,2200,ordinary
132,ditto,generation-i,nothing,limber imposter ,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.,normal,None,288,48,48,48,48,48,48,3,40,ordinary
133,eevee,generation-i,nothing,run-away adaptability anticipation ,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,normal,None,325,55,55,50,45,65,55,3,65,ordinary
134,vaporeon,generation-i,eevee,water-absorb hydration ,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.,water,None,525,130,65,60,110,95,65,10,290,ordinary
135,jolteon,generation-i,eevee,volt-absorb quick-feet ,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.,electric,None,525,65,65,60,110,95,130,8,245,ordinary
136,flareon,generation-i,eevee,flash-fire guts ,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",fire,None,525,65,130,60,95,110,65,9,250,ordinary
137,porygon,generation-i,nothing,trace download analytic ,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,normal,None,395,65,60,70,85,75,40,8,365,ordinary
138,omanyte,generation-i,nothing,swift-swim shell-armor weak-armor ,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",rock,water,355,35,40,100,90,55,35,4,75,ordinary
139,omastar,generation-i,omanyte,swift-swim shell-armor weak-armor ,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,rock,water,495,70,60,125,115,70,55,10,350,ordinary
140,kabuto,generation-i,nothing,swift-swim battle-armor weak-armor ,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,rock,water,355,30,80,90,55,45,55,5,115,ordinary
141,kabutops,generation-i,kabuto,swift-swim battle-armor weak-armor ,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,rock,water,495,60,115,105,65,70,80,13,405,ordinary
142,aerodactyl,generation-i,nothing,rock-head pressure unnerve ,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,rock,flying,515,80,105,65,60,75,130,18,590,ordinary
143,snorlax,generation-i,munchlax,immunity thick-fat gluttony ,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",normal,None,540,160,110,65,65,110,30,21,4600,ordinary
144,articuno,generation-i,nothing,pressure snow-cloak ,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,ice,flying,580,90,85,100,95,125,85,17,554,legendary
145,zapdos,generation-i,nothing,pressure static ,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,electric,flying,580,90,90,85,125,90,100,16,526,legendary
146,moltres,generation-i,nothing,pressure flame-body ,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,fire,flying,580,90,100,90,125,85,90,20,600,legendary
147,dratini,generation-i,nothing,shed-skin marvel-scale ,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,dragon,None,300,41,64,45,50,50,50,18,33,ordinary
148,dragonair,generation-i,dratini,shed-skin marvel-scale ,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,dragon,None,420,61,84,65,70,70,70,40,165,ordinary
149,dragonite,generation-i,dragonair,inner-focus multiscale ,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,dragon,flying,600,91,134,95,100,100,80,22,2100,ordinary
150,mewtwo,generation-i,nothing,pressure unnerve ,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,psychic,None,680,106,110,90,154,90,130,20,1220,legendary
151,mew,generation-i,nothing,synchronize ,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,psychic,None,600,100,100,100,100,100,100,4,40,mythical
